date,Open,High,Low,Close,Mean,Std,Range,Q1,Median,Q3,IQR,Skewness,Kurtosis,No_of_Outliers,Volume,Turnover
2018-01-17,3.97e-07,780000.0,0.0,4.04357345783e-07,13280.000000424654,98363.84072045455,780000.0,3.98960114279e-07,4e-07,4.02e-07,3.0398857210000158e-09,7.761190150445735,59.41938342791379,49,478038796.2176168,191.81445621328726
2018-01-30,3.09e-07,3300000.0,1.1900000000499999e-07,3.05e-07,11498.257840035316,194792.84091329662,3299999.999999881,3.0017653036999997e-07,3.08e-07,3.1e-07,9.823469630000026e-09,16.941074346097405,286.9999999999999,15,292644233.956969,88.96887466005943
2018-01-31,3.05e-07,4e-07,3.105e-08,3e-07,2.971718398366147e-07,2.3299289587522952e-08,3.6895e-07,2.9e-07,2.9794995e-07,3.0324e-07,1.3240000000000031e-08,0.0,0.0,6,246398530.36350957,71.43244161008658
2018-02-06,3.3129277064699996e-07,3e-06,2.7600000000000004e-07,3.581025e-07,3.501962783820795e-07,1.4446431179617077e-07,2.724e-06,3.31259940442e-07,3.44e-07,3.47e-07,1.574005955800001e-08,0.0,0.0,19,887300715.745365,297.5092778004327
2018-02-07,3.57105e-07,400000.0,2.68e-07,3.48e-07,1269.8412818642194,22537.44679208088,399999.999999732,3.55e-07,3.6e-07,3.7e-07,1.5000000000000015e-08,17.74823934929884,314.9999999999998,30,603448120.8027765,207.58198840694251
2018-02-08,3.38e-07,2e-06,3.03e-07,3.35e-07,3.537944189216944e-07,1.1032426561116341e-07,1.697e-06,3.38e-07,3.5e-07,3.56e-07,1.800000000000003e-08,0.0,0.0,8,947874393.6238716,307.04033104531914
2018-02-28,3.37e-07,3.6e-07,2.07e-07,3.3100000000000004e-07,3.17387059036381e-07,3.681342604305338e-08,1.53e-07,3.2149962746225006e-07,3.3e-07,3.3100000000000004e-07,9.500372537749982e-09,0.0,0.0,5,55032498.665283084,17.86599886983702
2018-03-01,3.32e-07,345000.0,1.7601e-07,3e-07,3224.299065747473,33352.408872043496,344999.999999824,3.2080724417749997e-07,3.29194985434e-07,3.38e-07,1.7192755822500013e-08,10.344080432788601,107.00000000000007,3,210358645.60476816,67.37291047766806
2018-03-02,3.06e-07,1560000.0,2.74962416688e-07,3.2200000000000005e-07,8478.260869884758,115004.72580079606,1559999.999999725,3.0174999999999996e-07,3.164873561045e-07,3.3e-07,2.8250000000000058e-08,13.56465996625054,184.00000000000009,7,228636113.2298168,70.44076808693528
2018-03-03,3e-07,4.9e-07,1.7601e-07,3e-07,3.1399296302527766e-07,2.450677808873939e-08,3.1398999999999997e-07,3.0503274615150003e-07,3.14e-07,3.239e-07,1.8867253848499953e-08,0.0,0.0,4,317884807.0220163,96.42411344723922
2018-03-04,3e-07,1.2095999999999999e-05,2.79994219981e-07,3.19111920493e-07,3.7909019983110054e-07,9.067465264125488e-07,1.1816005780019e-05,3e-07,3.0869128228800003e-07,3.19e-07,1.8999999999999998e-08,0.0,0.0,2,170661488.28757438,52.46623786818796
2018-03-05,3.19518012885e-07,3.0121999999999997e-05,2.9199999999999997e-07,3.14174507898e-07,5.213279843717217e-07,2.341892044225881e-06,2.9829999999999997e-05,3.1798719563399997e-07,3.2200000000000005e-07,3.30364758957e-07,1.2377563323000036e-08,12.6986962194787,161.49359301042432,9,544868890.081557,171.85427396612857
2018-03-06,3.07e-07,3.34e-06,3.02e-07,3.02e-07,3.686421679528487e-07,3.779391194015165e-07,3.0380000000000004e-06,3.12925568831e-07,3.2e-07,3.2460129255150004e-07,1.1675723720500048e-08,0.0,0.0,3,110032828.20607305,36.034427531492156
2018-03-07,3.16e-07,6e-07,3e-07,3.2299999999999997e-07,3.315194254591251e-07,4.176970286866702e-08,3e-07,3.2200000000000005e-07,3.24e-07,3.3025000000000004e-07,8.249999999999985e-09,0.0,0.0,12,100123546.36174224,32.1377861919331
