co_code,co_name
17099,XL Energy
17125,Raj Television
17136,J K Cements
17208,STEL Holdings
17211,Delta Corp
17215,Tech Mahindra
17376,Hindustan Media
17399,SKM Egg Prod.
17416,Polaris Consulta
17472,Ortin Labs.
17515,Noida Tollbridg.
17576,Excel Crop Care
17600,Orient Cement
17714,Landmark Prop.
17761,Micro Techno.
17808,Adani Power
18014,IL&FS Engg.
18075,Rural Elec.Corp.
18105,L & T Infotech
18203,Kavveri Telecom
18268,Mahindra Holiday
18286,Persistent Sys
18410,Allied Digital
18488,Torrent Power
18695,Shirpur Gold
18844,Info Edg.(India)
18868,MPS
18922,Lypsa Gems
19299,Alkem Lab
19320,Vardhman Acrylic
19534,Melstar Info.
19611,V-Guard Inds.
19638,T B Z
19816,Advance. Enzyme.
19825,Indo Tech.Trans.
19939,Titagarh Wagons
19961,Shoppers St.
20045,R Systems Intl.
20058,Triven.Engg.Ind.
20076,PTC India
20099,Petronet LNG
20238,Grob Tea Co
20249,Mangalam Drugs
20287,Jindal Steel
20289,Simplex Projects
20422,Atlanta
20485,Blue Star Info.
20561,Transport Corp.
20581,Mindtree
20600,Glenmark Pharma.
20631,Dish TV
20648,Sasken Comm.Tec.
20650,3i Infotech
20659,Hathway Cable
20670,MPS Infotecnics
20703,Indraprastha Gas
20710,Intrasoft Tech.
20728,Mahindra Life.
20754,TajGVK Hotels
20790,Visu Intl.
20791,Entegra
20883,Cadila Health.
20915,Lycos Internet
20944,GE Power
20947,Dynacons Sys.
20956,Padmalaya Tele.
20975,Agnite Educ.
21112,Mukta Arts
21132,Orbit Corpn.
21187,Datamatics Glob.
21188,Divi's Lab.
21203,Zen Technologies
21214,Tata Tele. Mah.
21275,FCS Software
21281,Adani Ports
21300,Opto Circuits
21304,AXISCADES Engg.
21321,Balaji Telefilms
21325,Welspun Enterp
21331,Sterlite Tech.
21335,Cigniti Tech.
21338,Amar Remedies
21351,Prithvi Info.
21357,Next Media.
21953,Lanco Infratech
21960,Godrej Consumer
21999,Net 4 India
22005,ICICI Pru Life
22012,Goldst.Infratec.
22048,Royal Orch.Hotel
22118,Jagran Prakashan
22130,Dishman Pharma.
22137,Sadbhav Engg.
22202,Ponni Sug.Erode
22219,Meghmani Organ.
22265,I D F C
22361,Gulshan Polyols
22406,Compuage Info.
22472,Anandam Rubber
22535,BLS Internat.
22626,Inox Leisure
22648,Cera Sanitary.
22783,Inventure Grow.
22825,AIA Engg.
22835,Tantia Constr.
22868,Ramsarup Inds.
22883,Radaan Media.
22929,Triveni Turbine
22980,Orissa Minerals
23037,BAG Films
23039,GMR Infra.
23040,Idea Cellular
23050,Reliance Defence
